time,n_samples,T
0.03138010000111535,500,250
0.028738099994370714,500,250
0.029070999997202307,500,250
0.029865399992559105,500,250
0.02893410000251606,500,250
0.028567500005010515,500,250
0.029426799999782816,500,250
0.029376599995885044,500,250
0.028965599994990043,500,250
0.029211600005510263,500,250
0.028658099996391684,500,250
0.02992380000068806,500,250
0.029320200002985075,500,250
0.028863600004115142,500,250
0.030142100004013628,500,250
0.02976469999703113,500,250
0.028800200001569465,500,250
0.028523199987830594,500,250
0.02902600000379607,500,250
0.029424799999105744,500,250
0.029197700001532212,500,250
0.029506599996238947,500,250
0.029451099995640106,500,250
0.03580740001052618,500,250
0.032199499997659586,500,250
0.029043600006843917,500,250
0.028972799991606735,500,250
0.030934399997931905,500,250
0.03147529999841936,500,250
0.03019299999868963,500,250
0.031045299998368137,500,250
0.03225689999817405,500,250
0.030728700003237464,500,250
0.029059599997708574,500,250
0.029729100002441555,500,250
0.030887700006132945,500,250
0.029555200002505444,500,250
0.030051599998841994,500,250
0.028989099999307655,500,250
0.030973000000813045,500,250
0.030504899987136014,500,250
0.03362900001229718,500,250
0.03371550000156276,500,250
0.0345482999982778,500,250
0.030336600000737235,500,250
0.030123200005618855,500,250
0.030460700014373288,500,250
0.0344457000028342,500,250
0.029911399993579835,500,250
0.03138370001397561,500,250
0.030115400004433468,500,250
0.03355560000636615,500,250
0.030689200008055195,500,250
0.030196699997759424,500,250
0.03118039999390021,500,250
0.03293600000324659,500,250
0.028464599992730655,500,250
0.029985799992573448,500,250
0.029591400001663715,500,250
0.03081759999622591,500,250
0.02963060000911355,500,250
0.030114399996818975,500,250
0.029976699996041134,500,250
0.031098399995244108,500,250
0.03000830000382848,500,250
0.03032079999684356,500,250
0.03200210000795778,500,250
0.030888599998434074,500,250
0.030332399997860193,500,250
0.029018899993388914,500,250
0.030215599996154197,500,250
0.03506280000146944,500,250
0.028713499996229075,500,250
0.030989999999292195,500,250
0.030342799989739433,500,250
0.030344099999638274,500,250
0.02884220000123605,500,250
0.030706999998074025,500,250
0.03080490000138525,500,250
0.03179390000877902,500,250
0.030220599990570918,500,250
0.028761499997926876,500,250
0.028999000001931563,500,250
0.029230500003905036,500,250
0.028618700001970865,500,250
0.030402499993215315,500,250
0.031519100011792034,500,250
0.03305759999784641,500,250
0.032877499994356185,500,250
0.032915999996475875,500,250
0.031857300011324696,500,250
0.0327440000110073,500,250
0.03148940000392031,500,250
0.029560399998445064,500,250
0.02982160000829026,500,250
0.03161099999852013,500,250
0.03197769999678712,500,250
0.03286900000239257,500,250
0.032252400007564574,500,250
0.03256330000294838,500,250
0.031156600001850165,500,250
0.030899700010195374,500,250
0.03016860000207089,500,250
0.03122319999965839,500,250
0.03152069999487139,500,250
0.039687200012849644,500,250
0.03608300001360476,500,250
0.037437899998622015,500,250
0.03676600000471808,500,250
0.03358899999875575,500,250
0.033996900005149655,500,250
0.03329700000176672,500,250
0.03318620000209194,500,250
0.03353330001118593,500,250
0.03445880000072066,500,250
0.03223650000290945,500,250
0.0335242000001017,500,250
0.02876240000477992,500,250
0.028591900001629256,500,250
0.028864099993370473,500,250
0.029408199989120476,500,250
0.02937479999673087,500,250
0.028526900001452304,500,250
0.02904819999821484,500,250
0.02997940000204835,500,250
0.02969409999786876,500,250
0.029467200001818128,500,250
0.028971599997021258,500,250
0.029398200000287034,500,250
0.031411299991304986,500,250
0.03259990000515245,500,250
0.03187109999998938,500,250
0.032773099999758415,500,250
0.033433100004913285,500,250
0.03346560000500176,500,250
0.03210140000737738,500,250
0.030168700002832338,500,250
0.03042249999998603,500,250
0.029745799998636357,500,250
0.03164400000241585,500,250
0.029317100008483976,500,250
0.02812749998702202,500,250
0.028200200002174824,500,250
0.02887880000344012,500,250
0.0299793000012869,500,250
0.028742199996486306,500,250
0.03304180000850465,500,250
0.03094470000360161,500,250
0.030275600001914427,500,250
0.029144699990865774,500,250
0.02936299999419134,500,250
0.030311900001834147,500,250
0.029399099992588162,500,250
0.030729499994777143,500,250
0.030373000001418404,500,250
